Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
41,95.81052451583682,True,Infrastructure investment,Infrastructure investment,0.8046787482973987,True,0.043505392443481665,0.0758549206806351,0.06361674972390108,0.01279720314764965,4.172235933308353
42,121.54937727155033,True,Social protection policy,Social protection policy,0.8645020987634705,True,0.03963540175845741,0.11262572725478137,0.0,0.026098178899819552,3.176667039476456
43,107.83795646372937,True,Infrastructure investment,Infrastructure investment,0.8498339629129538,True,0.04842768895584676,0.08397030818875706,0.060414499537199795,0.025112103619506804,3.408009343361329
44,93.68915096694862,True,Infrastructure investment,Infrastructure investment,0.778083697402217,True,0.043688095977772325,0.061227069001301815,0.08988914440386964,0.0017921225170316746,5.121695916820926
45,89.68328131318887,True,Social protection policy,Social protection policy,0.7751438352708678,True,0.11644850099615388,0.27210556943092534,0.12971042887956308,0.005753755176050118,4.860735753970209
46,100.60247633087153,True,Social protection policy,Social protection policy,0.863090224240897,True,0.05902318900395938,0.08324451253450382,0.11269531467285132,0.010641334306502687,3.0658398717783495
47,84.2300694876281,True,Environmental and research-oriented policy,Environmental and research-oriented policy,0.6246178907400723,True,0.029493139132027803,0.07506823906927013,0.02436153822072057,0.003796209672106615,6.938977183540434
48,63.21147854215963,True,Social protection policy,Social protection policy,0.8586445174089599,True,0.034763475203816875,0.0695447697139513,0.031885978259593384,0.020241415239814382,2.4542470703825967
49,97.55087338577977,True,Social protection policy,Social protection policy,0.9121366324022402,True,0.019372780953154582,0.01712258867197619,0.04301905221592528,0.00766309244813956,2.149755369893101
50,130.30230732018717,True,Social protection policy,Infrastructure investment,0.8152352795337041,True,0.0445961596845463,0.10559629193691489,0.04218306825864393,0.008307198700353229,4.094578076377309
51,106.1426515802544,True,Infrastructure investment,Infrastructure investment,0.8548115789364454,True,0.05817433905585456,0.10118129670466824,0.08759102802852081,0.014837861962301899,3.163748429899266
52,71.68093613339757,True,Social protection policy,Infrastructure investment,0.8268313552073155,True,0.02589978209495984,0.029281470211909744,0.05265716322132319,0.008710603899126507,3.2356712270131416
53,55.50423857740839,True,Social protection policy,Social protection policy,0.8368850553122493,True,0.07350546770611831,0.16917188628782753,0.04271598797296028,0.045381262710626286,3.140512082620631
54,59.855720600609956,True,Social protection policy,Social protection policy,0.9144614399493547,True,0.037401800343724534,0.08871926442112632,0.02088961211996332,0.021297424661946243,1.552248686975981
55,83.76205652385241,True,Social protection policy,Infrastructure investment,0.8125111389288711,True,0.05537113805224536,0.10220087726977067,0.08628235988215394,0.005315746030934161,3.50518023854989
56,90.90810234646887,True,Social protection policy,Social protection policy,0.8175654726393654,True,0.02046653231694599,0.05209656724940481,0.008527946974453526,0.011008348885452622,3.744936477821889
57,69.59808944067079,True,Social protection policy,Social protection policy,0.8304988747169356,True,0.05508619628034656,0.09751011020747113,0.06772405745857757,0.02756751931516427,2.838073119192413
58,101.41146812629167,True,Social protection policy,Social protection policy,0.8500039598946051,True,0.04020960689427835,0.12377795839333944,0.014551588460838594,0.0024040772757962063,3.040068096315267
59,59.36580307529626,True,Social protection policy,Infrastructure investment,0.8816837042909653,True,0.048080404893946695,0.12933781008387107,0.02959454770957365,0.009349059335368688,2.0077664599287752
