Sensitivity block,Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
Policy-impact matrix,85,98.94835151108684,True,Social protection policy,Infrastructure investment,0.8229005064290772,True,0.056236104349074854,0.11942979243037777,0.06618766347386129,0.011208909317522928,3.7338009125633773
Policy-impact matrix,86,92.42252848247705,True,Social protection policy,Infrastructure investment,0.8067060206340609,True,0.035951715010515875,0.07514140346043474,0.040079862027555646,0.010609737048815168,3.711622228950618
Policy-impact matrix,87,95.31093446342597,True,Social protection policy,Infrastructure investment,0.8120569005574872,True,0.04620202623004023,0.10086214640205038,0.048853536369962924,0.01199140903312751,3.7531387075239455
Policy-impact matrix,88,92.86053627518226,True,Social protection policy,Infrastructure investment,0.8060134962773285,True,0.039557877029399315,0.08734155635729957,0.04193585358941265,0.009175159656185386,3.7662817496556715
Policy-impact matrix,89,95.38513619447488,True,Social protection policy,Infrastructure investment,0.8183965934832151,True,0.04240923376254797,0.08577562205434741,0.0458989386317199,0.016757757482850577,3.6240902801020702
Policy-impact matrix,90,98.1389798282165,True,Social protection policy,Infrastructure investment,0.8208446424535488,True,0.06243215284756226,0.1564584170647041,0.05536615697974279,0.006687960922021036,3.6961061877546864
Policy-impact matrix,91,96.73850340885721,True,Social protection policy,Infrastructure investment,0.8197010766317722,True,0.051101600801455205,0.11387427054436705,0.05544839684960923,0.009532935411116938,3.7002144845871587
Policy-impact matrix,92,96.20228215010756,True,Social protection policy,Infrastructure investment,0.8175699861198333,True,0.04928696765307012,0.10733192067801622,0.05136678970213171,0.013805676405597475,3.6546800841313005
Policy-impact matrix,93,98.64938390496098,True,Social protection policy,Social protection policy,0.8275850712264079,True,0.04999182050321489,0.08811408615362393,0.07605952125764048,0.01079776434998772,3.6959019488188565
Policy-impact matrix,94,92.88043056392887,True,Social protection policy,Infrastructure investment,0.809202231699673,True,0.03436799598257425,0.0657695576138898,0.04245842533822253,0.01206000298689755,3.727410304224659
Policy-impact matrix,95,97.48047502830529,True,Social protection policy,Infrastructure investment,0.8186465080888942,True,0.05010961041234019,0.10544005254296118,0.05618033572471004,0.013763248175519438,3.753655703908096
Policy-impact matrix,96,93.64645571762637,True,Social protection policy,Infrastructure investment,0.8120947086889707,True,0.03772611132929775,0.08388065336164452,0.037383109936122705,0.010777626354774889,3.692164551526144
Policy-impact matrix,97,95.8123470065777,True,Social protection policy,Infrastructure investment,0.8149610448495116,True,0.04938349095926252,0.1107546703632104,0.047410530443773524,0.014677017550434865,3.6929385213012123
Policy-impact matrix,98,92.95115534203133,True,Social protection policy,Infrastructure investment,0.8105407412612851,True,0.03990732303853376,0.08323589224962202,0.04572734091122521,0.010712397474020918,3.6328521738600035
Policy-impact matrix,99,93.92591201502017,True,Social protection policy,Infrastructure investment,0.8113808122712735,True,0.042650479942319526,0.09657525024629632,0.04388888924401069,0.00881254030781134,3.701498777215745
Policy-impact matrix,100,92.7581981145583,True,Social protection policy,Infrastructure investment,0.8099217703105027,True,0.03330695677987704,0.06597983581043898,0.03968318788663994,0.010911325032490704,3.722602038388017
Interaction matrix,1,97.57511255834336,True,Social protection policy,Infrastructure investment,0.8152918415269511,True,0.04495676014825789,0.10151137086017659,0.046576602819741186,0.009260686838984858,3.8524819130257946
Interaction matrix,2,97.12408909657223,True,Social protection policy,Infrastructure investment,0.8188536429849638,True,0.043548983569205266,0.10123566833683062,0.04081157763756671,0.010374196517821094,3.8026615873736938
Interaction matrix,3,97.06664567463307,True,Social protection policy,Infrastructure investment,0.8181843644894329,True,0.044091395994269915,0.10150504673006167,0.041616593197261964,0.01119824605262107,3.765721986553095
Interaction matrix,4,96.9544572224932,True,Social protection policy,Infrastructure investment,0.8143401613528365,True,0.04681113898506768,0.10184004787911616,0.0511656166928125,0.010833321875808238,3.782070646023859
Interaction matrix,5,93.8154751505299,True,Social protection policy,Infrastructure investment,0.8183770084053956,True,0.048190927139910966,0.1041088667367076,0.04924443369692155,0.015314944556059223,3.5775635529597376
Interaction matrix,6,91.51715772535164,True,Social protection policy,Infrastructure investment,0.8135154626621355,True,0.0444668113888556,0.10609137066661467,0.033608999055084854,0.01593347013929508,3.548462132667236
Interaction matrix,7,98.70016249373327,True,Social protection policy,Infrastructure investment,0.8228052563117977,True,0.04586551148488765,0.09962766813089252,0.04778085341329996,0.013120768652914297,3.678815026626164
Interaction matrix,8,94.40484649956537,True,Social protection policy,Infrastructure investment,0.8129683326039229,True,0.04421544436705776,0.10387525656013907,0.038590137485611575,0.01228866123895149,3.7165858895738286
Interaction matrix,9,92.69658455318242,True,Social protection policy,Infrastructure investment,0.8158780364484995,True,0.04955193555581883,0.10447217534119402,0.05267556974113147,0.016284029363040395,3.5318660324154196
Interaction matrix,10,91.57168806104028,True,Social protection policy,Infrastructure investment,0.8230665252004743,True,0.04617034388836207,0.10491664653136479,0.03732849069553629,0.01935106638236618,3.3818463499697935
Interaction matrix,11,97.49424093828553,True,Social protection policy,Infrastructure investment,0.8125707764115051,True,0.05038721016534827,0.09993789023764599,0.06681869095172821,0.009598654389344749,3.8373509008955184
Interaction matrix,12,97.84696202829836,True,Social protection policy,Infrastructure investment,0.8176005177837132,True,0.04726592620855002,0.101506869173968,0.05259554680826872,0.011328325747688314,3.7598693282584543
